     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3936500 2463500  1 11 24  -0.2  994 307  1.3 6  3.2  85    0    0 275 -319  2
3936500 2463500  1 12  1  -0.9  994 279  1.0 6  3.2  85    0    0 271 -319  2
3936500 2463500  1 12  2  -0.7  994  12  1.0 6  3.2  89    0    0 271 -319  2
3936500 2463500  1 12  3  -0.3  994 216  1.7 6  3.4  92    0    0 273 -319  2
3936500 2463500  1 12  4  -0.1  994 215  1.7 5  3.5  92    0    0 270 -319  2
3936500 2463500  1 12  5   0.1  994 221  1.6 7  3.5  92    0    0 276 -319  2
3936500 2463500  1 12  6   0.5  994 254  1.4 7  3.7  93    0    0 286 -319  2
3936500 2463500  1 12  7   0.5  994 308  0.3 7  3.8  95    0    0 288 -319  2
3936500 2463500  1 12  8   0.3  995 149  1.0 8  3.8  95    0    0 293 -319  2
3936500 2463500  1 12  9   0.4  995 135  1.8 8  3.9  98    0    8 298 -319  2
3936500 2463500  1 12 10   0.8  995 132  1.5 7  4.0 100    2   54 294 -319  2
3936500 2463500  1 12 11   0.9  996  79  1.3 6  4.1 100    4   90 286 -319  2
3936500 2463500  1 12 12   1.7  996 276  1.2 5  4.2 100    7  124 277 -319  2
